"data","BESENZONE","v_BESENZONE","CORTE BRUGNATELLA","v_CORTE BRUGNATELLA","GIORDANI-FARNESE","v_GIORDANI-FARNESE","LUGAGNANO","v_LUGAGNANO","PARCO MONTECUCCO","v_PARCO MONTECUCCO"
"2023-01-01 00:00","36","S","9","S","35","S","","","29","S"
"2023-01-02 00:00","32","S","14","S","37","S","31","S","33","S"
"2023-01-03 00:00","31","S","10","S","36","S","37","S","34","S"
"2023-01-04 00:00","27","S","0","S","23","S","25","S","31","S"
"2023-01-05 00:00","27","S","3","S","32","S","15","S","30","S"
"2023-01-06 00:00","32","S","1","S","33","S","24","S","30","S"
"2023-01-07 00:00","27","S","0","S","27","S","15","S","36","S"
"2023-01-08 00:00","24","S","0","S","18","S","11","S","30","S"
"2023-01-09 00:00","9","S","0","S","5","S","6","S","16","S"
"2023-01-10 00:00","6","S","1","S","7","S","9","S","9","S"
"2023-01-11 00:00","23","S","4","S","27","S","28","S","30","S"
"2023-01-12 00:00","52","S","14","S","55","S","39","S","42","S"
"2023-01-13 00:00","55","S","12","S","66","S","42","S","55","S"
"2023-01-14 00:00","51","S","6","S","61","S","34","S","59","S"
"2023-01-15 00:00","60","S","24","S","55","S","58","S","69","S"
"2023-01-16 00:00","29","S","0","S","34","S","22","S","",""
"2023-01-17 00:00","4","S","0","S","","","6","S","29","S"
"2023-01-18 00:00","20","S","0","S","","","20","S","37","S"
"2023-01-19 00:00","18","S","6","S","18","S","26","S","19","S"
"2023-01-20 00:00","33","S","15","S","37","S","33","S","30","S"
"2023-01-21 00:00","32","S","21","S","36","S","36","S","20","S"
"2023-01-22 00:00","30","S","19","S","34","S","32","S","22","S"
"2023-01-23 00:00","30","S","13","S","37","S","","","24","S"
"2023-01-24 00:00","25","S","14","S","23","S","","","14","S"
"2023-01-25 00:00","23","S","11","S","27","S","23","S","27","S"
"2023-01-26 00:00","23","S","9","S","32","S","22","S","35","S"
"2023-01-27 00:00","18","S","9","S","29","S","21","S","32","S"
"2023-01-28 00:00","29","S","14","S","39","S","28","S","35","S"
"2023-01-29 00:00","35","S","18","S","42","S","36","S","36","S"
"2023-01-30 00:00","44","S","14","S","54","S","43","S","46","S"
"2023-01-31 00:00","59","S","7","S","64","S","27","S","60","S"
"2023-02-01 00:00","38","S","6","S","46","S","25","S","46","S"
"2023-02-02 00:00","18","S","1","S","20","S","5","S","17","S"
"2023-02-03 00:00","54","S","4","S","47","S","27","S","45","S"
"2023-02-04 00:00","54","S","9","S","55","S","38","S","43","S"
"2023-02-05 00:00","39","S","30","S","36","S","55","S","32","S"
"2023-02-06 00:00","24","S","17","S","31","S","40","S","21","S"
"2023-02-07 00:00","40","S","22","S","46","S","57","S","29","S"
"2023-02-08 00:00","41","S","26","S","52","S","50","S","37","S"
"2023-02-09 00:00","27","S","18","S","25","S","46","S","27","S"
"2023-02-10 00:00","45","S","25","S","47","S","43","S","",""
"2023-02-11 00:00","44","S","9","S","46","S","28","S","45","S"
"2023-02-12 00:00","56","S","8","S","55","S","26","S","53","S"
"2023-02-13 00:00","77","S","34","S","92","S","44","S","81","S"
"2023-02-14 00:00","61","S","","","76","S","34","S","60","S"
"2023-02-15 00:00","57","S","8","S","72","S","25","S","55","S"
"2023-02-16 00:00","46","S","7","S","57","S","18","S","45","S"
"2023-02-17 00:00","29","S","9","S","36","S","18","S","33","S"
"2023-02-18 00:00","28","S","4","S","31","S","18","S","32","S"
"2023-02-19 00:00","33","S","4","S","30","S","23","S","34","S"
"2023-02-20 00:00","50","S","10","S","56","S","29","S","61","S"
"2023-02-21 00:00","40","S","0","S","44","S","36","S","50","S"
"2023-02-22 00:00","104","S","2","S","102","S","53","S","99","S"
"2023-02-23 00:00","75","S","3","S","62","S","26","S","62","S"
"2023-02-24 00:00","32","S","11","S","50","S","29","S","55","S"
"2023-02-25 00:00","37","S","13","S","37","S","33","S","49","S"
"2023-02-26 00:00","13","S","11","S","16","S","25","S","16","S"
"2023-02-27 00:00","15","S","15","S","19","S","28","S","12","S"
"2023-02-28 00:00","33","S","29","S","37","S","42","S","26","S"
"2023-03-01 00:00","42","S","28","S","46","S","55","S","27","S"
"2023-03-02 00:00","30","S","13","S","28","S","15","S","32","S"
"2023-03-03 00:00","30","S","19","S","31","S","25","S","34","S"
"2023-03-04 00:00","30","S","13","S","31","S","23","S","31","S"
"2023-03-05 00:00","27","S","5","S","26","S","9","S","31","S"
"2023-03-06 00:00","34","S","9","S","35","S","22","S","40","S"
"2023-03-07 00:00","15","S","6","S","29","S","16","S","36","S"
"2023-03-08 00:00","26","S","6","S","25","S","26","S","30","S"
"2023-03-09 00:00","28","S","2","S","","","23","S","35","S"
"2023-03-10 00:00","23","S","0","S","40","S","12","S","34","S"
"2023-03-11 00:00","9","S","4","S","19","S","9","S","10","S"
"2023-03-12 00:00","35","S","19","S","44","S","35","S","29","S"
"2023-03-13 00:00","31","S","10","S","38","S","34","S","31","S"
"2023-03-14 00:00","26","S","8","S","23","S","21","S","18","S"
"2023-03-15 00:00","16","S","7","S","16","S","17","S","9","S"
"2023-03-16 00:00","","","10","S","23","S","22","S","18","S"
"2023-03-17 00:00","31","S","21","S","38","S","33","S","27","S"
"2023-03-18 00:00","39","S","23","S","40","S","34","S","29","S"
"2023-03-19 00:00","45","S","10","S","32","S","23","S","37","S"
"2023-03-20 00:00","39","S","15","S","37","S","21","S","37","S"
"2023-03-21 00:00","37","S","18","S","46","S","25","S","47","S"
"2023-03-22 00:00","40","S","8","S","46","S","27","S","48","S"
"2023-03-23 00:00","27","S","4","S","24","S","13","S","22","S"
"2023-03-24 00:00","23","S","2","S","20","S","13","S","20","S"
"2023-03-25 00:00","16","S","2","S","21","S","8","S","15","S"
"2023-03-26 00:00","13","S","0","S","13","S","5","S","22","S"
"2023-03-27 00:00","11","S","9","S","16","S","11","S","9","S"
"2023-03-28 00:00","23","S","11","S","22","S","19","S","14","S"
"2023-03-29 00:00","33","S","12","S","27","S","28","S","18","S"
"2023-03-30 00:00","37","S","13","S","32","S","29","S","22","S"
"2023-03-31 00:00","16","S","0","S","22","S","11","S","30","S"
"2023-04-01 00:00","6","S","0","S","3","S","0","S","10","S"
"2023-04-02 00:00","14","S","0","S","6","S","4","S","14","S"
"2023-04-03 00:00","11","S","4","S","19","S","13","S","13","S"
"2023-04-04 00:00","24","S","14","S","28","S","30","S","19","S"
"2023-04-05 00:00","28","S","19","S","36","S","45","S","21","S"
"2023-04-06 00:00","28","S","14","S","31","S","25","S","25","S"
"2023-04-07 00:00","32","S","11","S","29","S","24","S","28","S"
"2023-04-08 00:00","21","S","12","S","22","S","16","S","20","S"
"2023-04-09 00:00","16","S","10","S","14","S","7","S","14","S"
"2023-04-10 00:00","11","S","8","S","8","S","10","S","11","S"
"2023-04-11 00:00","14","S","7","S","9","S","8","S","16","S"
"2023-04-12 00:00","15","S","0","S","20","S","13","S","26","S"
"2023-04-13 00:00","1","S","0","S","0","S","0","S","13","S"
"2023-04-14 00:00","0","S","","","0","S","0","S","6","S"
"2023-04-15 00:00","14","S","10","S","17","S","12","S","15","S"
"2023-04-16 00:00","17","S","10","S","17","S","15","S","10","S"
"2023-04-17 00:00","16","S","9","S","18","S","16","S","15","S"
"2023-04-18 00:00","19","S","13","S","24","S","24","S","16","S"
"2023-04-19 00:00","13","S","6","S","16","S","12","S","15","S"
"2023-04-20 00:00","11","S","4","S","18","S","15","S","17","S"
"2023-04-21 00:00","18","S","10","S","17","S","19","S","18","S"
"2023-04-22 00:00","21","S","11","S","12","S","16","S","18","S"
"2023-04-23 00:00","15","S","4","S","10","S","10","S","15","S"
"2023-04-24 00:00","8","S","","","5","S","7","S","11","S"
"2023-04-25 00:00","7","S","","","13","S","7","S","12","S"
"2023-04-26 00:00","17","S","6","S","21","S","15","S","16","S"
"2023-04-27 00:00","26","S","16","S","33","S","25","S","18","S"
"2023-04-28 00:00","25","S","14","S","34","S","22","S","19","S"
"2023-04-29 00:00","26","S","10","S","26","S","21","S","22","S"
"2023-04-30 00:00","24","S","12","S","22","S","17","S","24","S"
"2023-05-01 00:00","12","S","5","S","14","S","10","S","16","S"
"2023-05-02 00:00","11","S","6","S","15","S","9","S","7","S"
"2023-05-03 00:00","11","S","9","S","13","S","11","S","7","S"
