date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,7.8,7,8.6,0,,313,2.8,,1031.1,
2023-01-02,8.8,7.7,10,0,,312,2,,1029.6,
2023-01-03,9.1,8.2,9.8,1.2,,68,2.3,,1029.1,
2023-01-04,9,7.5,10,0,,305,3.4,,1029.7,
2023-01-05,7.5,6,8.6,0,,249,4,,1023.3,
2023-01-06,5.7,1.8,8,0,,267,3.6,,1025.1,
2023-01-07,7.2,6,8.2,0,,281,3,,1023.6,
2023-01-08,7.1,6.7,7.3,17.4,,97,7.3,,1015.2,
2023-01-09,7.7,5.5,11,2.2,,315,9.5,,1004.3,
2023-01-10,8.3,3.9,13.2,0,,278,19.7,,1016.1,
2023-01-11,4.8,1.2,8.6,1.2,,281,7,,1020.5,
2023-01-12,4.3,1.2,8.8,0,,265,5.2,,1022.3,
2023-01-13,4.2,2.4,7.6,0,,268,4.8,,1019.1,
2023-01-14,2.9,-1.2,7.4,0,,235,6.2,,1021.6,
2023-01-15,4.7,2.6,6.2,1.4,,293,3.5,,1014.5,
2023-01-16,4.1,2,5.6,0.5,,278,7.8,,999.2,
2023-01-17,2.4,1,3.3,4.9,,294,6.2,,990.1,
2023-01-18,2.5,0.4,4,8,,301,5.8,,993.4,
2023-01-19,1.1,0,3.1,26.4,,297,7,,1002.5,
2023-01-20,0.9,-1.3,4.2,0,,269,6.1,,1009.2,
2023-01-21,0.5,-2.6,5.4,0,,264,12.8,,1011.2,
2023-01-22,2,-0.2,4.8,0,,228,7.8,,1017.2,
2023-01-23,2.1,0.2,4.2,10.8,,266,7.4,,1019.5,
2023-01-24,4.7,2.9,8,1.1,,213,4.6,,1028.3,
2023-01-25,4.5,1.7,7.6,4.5,,255,3.8,,1025.1,
2023-01-26,1.9,-0.5,5.8,0,,211,5.9,,1015.7,
2023-01-27,0.7,-1.6,5,0,,181,6.7,,1013.9,
2023-01-28,0.8,-1.8,5.6,0,,263,7.3,,1018.9,
2023-01-29,0.6,-3,5.8,0,,256,6.9,,1024.7,
2023-01-30,1.1,-2.7,7.4,0,,274,8.3,,1019.1,
2023-01-31,2.1,-2,8.8,0,,272,6.4,,1021.6,
2023-02-01,3.3,-2,11.8,0,,276,5.3,,1020.7,
2023-02-02,7.8,1.9,14.8,0,,280,17.2,,1021.5,
2023-02-03,5.8,1,10.8,0,,252,9.5,,1024.1,
2023-02-04,8.1,2,16,0,,146,8.1,,1021.1,
2023-02-05,4.3,1.4,7.4,0,,133,7.2,,1030.8,
2023-02-06,2.9,-1.8,7.4,0,,144,10,,1033.3,
2023-02-07,0.9,-3,6.2,0,,176,5.4,,1036.2,
2023-02-08,-1.2,-5.4,4,0,,197,9.7,,1036.7,
2023-02-09,-1.1,-4.2,3,0,,173,8.6,,1037.6,
2023-02-10,-1.2,-6,7,0,,273,10,,1036.9,
2023-02-11,1,-4.4,9,0,,275,10,,1035.4,
2023-02-12,3.6,-2.8,12,0,,211,8.9,,1033.3,
2023-02-13,3.7,-2.2,11,0,,250,7,,1037.2,
2023-02-14,5,-1.2,13.6,0,,274,9.2,,1033.7,
2023-02-15,6,-0.4,15,0,,254,7,,1029.4,
2023-02-16,5.9,0.6,13,0,,221,7.9,,1028.4,
2023-02-17,6.1,0,13.4,0,,256,5.8,,1029,
2023-02-18,6.7,1,13.4,0,,227,5.8,,1027.1,
2023-02-19,7.1,2,12.8,0,,255,5.9,,1022.9,
2023-02-20,7,1,12.2,0,,271,5.9,,1025.9,
2023-02-21,7.7,1.2,13.4,0,,251,6.8,,1021.1,
